node,daodong,node_link,daodong_node_link,weight
0,0.88,1,1.05,0.924
1,1.05,2,0.6,0.63
1,1.05,3,0.615,0.322875
1,1.05,4,0.73,0.2555
1,1.05,8,1.33,0.1995
2,0.6,3,0.615,0.369
3,0.615,4,0.73,0.44895
4,0.73,5,0.475,0.34675
4,0.73,6,0.61,0.22265
4,0.73,7,0.645,0.15695
4,0.73,8,1.33,0.242725
5,0.475,6,0.61,0.28975
6,0.61,7,0.645,0.39345
7,0.645,8,1.33,0.85785
8,1.33,9,0.885,1.17705
8,1.33,24,2.28,0.189525
9,0.885,10,0.72,0.6372
9,0.885,14,0.8,0.1416
9,0.885,24,2.28,0.13452
10,0.72,11,0.45,0.324
10,0.72,12,0.49,0.1764
10,0.72,14,0.8,0.144
11,0.45,12,0.49,0.2205
12,0.49,13,0.435,0.21315
12,0.49,14,0.8,0.196
13,0.435,14,0.8,0.348
14,0.8,15,0.425,0.34
14,0.8,16,0.515,0.206
14,0.8,18,0.66,0.132
14,0.8,19,0.69,0.1104
14,0.8,21,0.775,0.088571
14,0.8,24,2.28,0.1824
15,0.425,16,0.515,0.218875
16,0.515,17,0.45,0.23175
16,0.515,18,0.66,0.16995
17,0.45,18,0.66,0.297
18,0.66,19,0.69,0.4554
19,0.69,20,0.33,0.2277
19,0.69,21,0.775,0.267375
20,0.33,21,0.775,0.25575
21,0.775,22,0.455,0.352625
21,0.775,23,0.595,0.230562
21,0.775,24,2.28,0.589
22,0.455,23,0.595,0.270725
23,0.595,24,2.28,1.3566
24,2.28,25,0.37,0.8436
24,2.28,27,1.365,1.0374
24,2.28,69,1.37,0.069413
24,2.28,94,2.145,0.069866
25,0.37,26,0.365,0.13505
25,0.37,27,1.365,0.252525
26,0.365,27,1.365,0.498225
27,1.365,28,0.46,0.6279
27,1.365,29,0.84,0.5733
27,1.365,33,1.1,0.25025
27,1.365,46,1.14,0.0819
27,1.365,68,1.345,0.044779
27,1.365,69,1.37,0.044525
28,0.46,29,0.84,0.3864
29,0.84,30,0.49,0.4116
29,0.84,31,0.585,0.2457
29,0.84,33,1.1,0.231
30,0.49,31,0.585,0.28665
31,0.585,32,0.36,0.2106
31,0.585,33,1.1,0.32175
32,0.36,33,1.1,0.396
33,1.1,34,0.765,0.8415
33,1.1,39,1.0,0.183333
33,1.1,46,1.14,0.096462
34,0.765,35,0.555,0.424575
34,0.765,36,0.615,0.235238
34,0.765,37,0.75,0.19125
34,0.765,39,1.0,0.153
35,0.555,36,0.615,0.341325
36,0.615,37,0.75,0.46125
37,0.75,38,0.675,0.50625
37,0.75,39,1.0,0.375
38,0.675,39,1.0,0.675
39,1.0,40,0.655,0.655
39,1.0,41,0.72,0.36
39,1.0,43,0.78,0.195
39,1.0,46,1.14,0.162857
40,0.655,41,0.72,0.4716
41,0.72,42,0.37,0.2664
41,0.72,43,0.78,0.2808
42,0.37,43,0.78,0.2886
43,0.78,44,0.575,0.4485
43,0.78,46,1.14,0.2964
44,0.575,45,0.3,0.1725
44,0.575,46,1.14,0.32775
45,0.3,46,1.14,0.342
46,1.14,47,0.775,0.8835
46,1.14,49,0.835,0.3173
46,1.14,51,1.075,0.2451
46,1.14,53,1.13,0.184029
46,1.14,68,1.345,0.069695
47,0.775,48,0.59,0.45725
47,0.775,49,0.835,0.323562
48,0.59,49,0.835,0.49265
49,0.835,50,0.31,0.25885
49,0.835,51,1.075,0.448812
50,0.31,51,1.075,0.33325
51,1.075,52,0.635,0.682625
51,1.075,53,1.13,0.607375
52,0.635,53,1.13,0.71755
53,1.13,54,0.69,0.7797
53,1.13,55,0.87,0.49155
53,1.13,68,1.345,0.101323
54,0.69,55,0.87,0.6003
55,0.87,56,0.7,0.609
55,0.87,60,0.795,0.13833
55,0.87,68,1.345,0.090012
56,0.7,57,0.43,0.301
56,0.7,58,0.67,0.2345
56,0.7,60,0.795,0.139125
57,0.43,58,0.67,0.2881
58,0.67,59,0.535,0.35845
58,0.67,60,0.795,0.266325
59,0.535,60,0.795,0.425325
60,0.795,61,0.585,0.465075
60,0.795,62,0.63,0.250425
60,0.795,68,1.345,0.133659
61,0.585,62,0.63,0.36855
62,0.63,63,0.37,0.2331
62,0.63,64,0.42,0.1323
62,0.63,66,0.57,0.089775
62,0.63,68,1.345,0.141225
63,0.37,64,0.42,0.1554
64,0.42,65,0.36,0.1512
64,0.42,66,0.57,0.1197
65,0.36,66,0.57,0.2052
66,0.57,67,0.355,0.20235
66,0.57,68,1.345,0.383325
67,0.355,68,1.345,0.477475
68,1.345,69,1.37,1.84265
69,1.37,70,0.55,0.7535
69,1.37,71,0.61,0.41785
69,1.37,88,0.785,0.056603
69,1.37,94,2.145,0.117546
70,0.55,71,0.61,0.3355
71,0.61,72,0.41,0.2501
71,0.61,74,0.49,0.099633
71,0.61,75,0.515,0.078538
71,0.61,77,0.53,0.053883
71,0.61,88,0.785,0.028168
72,0.41,73,0.335,0.13735
72,0.41,74,0.49,0.10045
73,0.335,74,0.49,0.16415
74,0.49,75,0.515,0.25235
75,0.515,76,0.375,0.193125
75,0.515,77,0.53,0.136475
76,0.375,77,0.53,0.19875
77,0.53,78,0.405,0.21465
77,0.53,79,0.51,0.13515
77,0.53,88,0.785,0.037823
78,0.405,79,0.51,0.20655
79,0.51,80,0.47,0.2397
79,0.51,82,0.49,0.0833
79,0.51,88,0.785,0.044483
80,0.47,81,0.42,0.1974
80,0.47,82,0.49,0.11515
81,0.42,82,0.49,0.2058
82,0.49,83,0.33,0.1617
82,0.49,84,0.375,0.091875
82,0.49,85,0.455,0.074317
82,0.49,88,0.785,0.064108
83,0.33,84,0.375,0.12375
84,0.375,85,0.455,0.170625
85,0.455,86,0.27,0.12285
85,0.455,88,0.785,0.119058
86,0.27,87,0.18,0.0486
86,0.27,88,0.785,0.105975
87,0.18,88,0.785,0.1413
88,0.785,89,0.21,0.16485
88,0.785,90,0.435,0.170738
88,0.785,91,0.7,0.183167
88,0.785,94,2.145,0.280638
89,0.21,90,0.435,0.09135
90,0.435,91,0.7,0.3045
91,0.7,92,0.435,0.3045
91,0.7,93,0.61,0.2135
91,0.7,94,2.145,0.5005
92,0.435,93,0.61,0.26535
93,0.61,94,2.145,1.30845
94,2.145,95,0.69,1.48005
94,2.145,98,0.835,0.447769
94,2.145,107,1.1,0.1815
94,2.145,115,1.15,0.117464
94,2.145,132,1.2,0.067737
94,2.145,136,1.3,0.066393
95,0.69,96,0.66,0.4554
95,0.69,98,0.835,0.19205
96,0.66,97,0.61,0.4026
96,0.66,98,0.835,0.27555
97,0.61,98,0.835,0.50935
98,0.835,99,0.825,0.688875
98,0.835,107,1.1,0.102056
99,0.825,100,0.575,0.474375
99,0.825,102,0.7,0.1925
99,0.825,107,1.1,0.113438
100,0.575,101,0.55,0.31625
100,0.575,102,0.7,0.20125
101,0.55,102,0.7,0.385
102,0.7,103,0.275,0.1925
102,0.7,104,0.625,0.21875
102,0.7,107,1.1,0.154
103,0.275,104,0.625,0.171875
104,0.625,105,0.6,0.375
104,0.625,107,1.1,0.229167
105,0.6,106,0.525,0.315
105,0.6,107,1.1,0.33
106,0.525,107,1.1,0.5775
107,1.1,108,0.775,0.8525
107,1.1,112,0.8,0.176
107,1.1,115,1.15,0.158125
108,0.775,109,0.35,0.27125
108,0.775,110,0.675,0.261563
108,0.775,112,0.8,0.155
109,0.35,110,0.675,0.23625
110,0.675,111,0.525,0.354375
110,0.675,112,0.8,0.27
111,0.525,112,0.8,0.42
112,0.8,113,0.725,0.58
112,0.8,115,1.15,0.306667
113,0.725,114,0.55,0.39875
113,0.725,115,1.15,0.416875
114,0.55,115,1.15,0.6325
115,1.15,116,0.425,0.48875
115,1.15,117,0.95,0.54625
115,1.15,132,1.2,0.081176
116,0.425,117,0.95,0.40375
117,0.95,118,0.475,0.45125
117,0.95,121,0.625,0.148438
117,0.95,122,0.7,0.133
117,0.95,132,1.2,0.076
118,0.475,119,0.3,0.1425
118,0.475,120,0.45,0.106875
118,0.475,121,0.625,0.098958
119,0.3,120,0.45,0.135
120,0.45,121,0.625,0.28125
121,0.625,122,0.7,0.4375
122,0.7,123,0.675,0.4725
122,0.7,132,1.2,0.084
123,0.675,124,0.525,0.354375
123,0.675,129,0.6,0.0675
123,0.675,132,1.2,0.09
124,0.525,125,0.425,0.223125
124,0.525,126,0.525,0.137812
125,0.425,126,0.525,0.223125
126,0.525,127,0.375,0.196875
126,0.525,129,0.6,0.105
127,0.375,128,0.3,0.1125
127,0.375,129,0.6,0.1125
128,0.3,129,0.6,0.18
129,0.6,130,0.225,0.135
129,0.6,131,0.45,0.135
129,0.6,132,1.2,0.24
130,0.225,131,0.45,0.10125
131,0.45,132,1.2,0.54
132,1.2,133,0.75,0.9
132,1.2,134,0.95,0.57
132,1.2,136,1.3,0.39
133,0.75,134,0.95,0.7125
134,0.95,135,0.825,0.78375
134,0.95,136,1.3,0.6175
135,0.825,136,1.3,1.0725
136,1.3,137,0.9,1.17
136,1.3,143,0.925,0.171786
136,1.3,145,0.95,0.137222
136,1.3,177,1.275,0.040427
137,0.9,138,0.65,0.585
137,0.9,142,0.725,0.1305
137,0.9,143,0.925,0.13875
138,0.65,139,0.25,0.1625
138,0.65,140,0.425,0.138125
138,0.65,142,0.725,0.117812
139,0.25,140,0.425,0.10625
140,0.425,141,0.325,0.138125
140,0.425,142,0.725,0.154062
141,0.325,142,0.725,0.235625
142,0.725,143,0.925,0.670625
143,0.925,144,0.625,0.578125
143,0.925,145,0.95,0.439375
144,0.625,145,0.95,0.59375
145,0.95,146,0.65,0.6175
145,0.95,150,0.9,0.171
145,0.95,177,1.275,0.037852
146,0.65,147,0.5,0.325
146,0.65,150,0.9,0.14625
147,0.5,148,0.25,0.125
147,0.5,149,0.5,0.125
148,0.25,149,0.5,0.125
149,0.5,150,0.9,0.45
150,0.9,151,0.375,0.3375
150,0.9,154,0.75,0.16875
150,0.9,177,1.275,0.0425
151,0.375,152,0.325,0.121875
151,0.375,154,0.75,0.09375
152,0.325,153,0.225,0.073125
152,0.325,154,0.75,0.121875
153,0.225,154,0.75,0.16875
154,0.75,155,0.275,0.20625
154,0.75,156,0.375,0.140625
154,0.75,157,0.525,0.13125
154,0.75,169,0.7,0.035
154,0.75,177,1.275,0.041576
155,0.275,156,0.375,0.103125
156,0.375,157,0.525,0.196875
157,0.525,158,0.4,0.21
157,0.525,159,0.425,0.111562
157,0.525,168,0.5,0.023864
157,0.525,169,0.7,0.030625
158,0.4,159,0.425,0.17
159,0.425,160,0.25,0.10625
159,0.425,163,0.4,0.0425
159,0.425,168,0.5,0.023611
160,0.25,161,0.15,0.0375
160,0.25,162,0.25,0.03125
161,0.15,162,0.25,0.0375
162,0.25,163,0.4,0.1
163,0.4,164,0.225,0.09
163,0.4,165,0.375,0.075
163,0.4,168,0.5,0.04
164,0.225,165,0.375,0.084375
165,0.375,166,0.375,0.140625
166,0.375,167,0.25,0.09375
166,0.375,168,0.5,0.09375
167,0.25,168,0.5,0.125
168,0.5,169,0.7,0.35
169,0.7,170,0.2,0.14
169,0.7,171,0.45,0.1575
169,0.7,173,0.525,0.091875
169,0.7,174,0.625,0.0875
169,0.7,177,1.275,0.111562
170,0.2,171,0.45,0.09
171,0.45,172,0.35,0.1575
171,0.45,173,0.525,0.118125
172,0.35,173,0.525,0.18375
173,0.525,174,0.625,0.328125
174,0.625,175,0.625,0.390625
175,0.625,176,0.425,0.265625
175,0.625,177,1.275,0.398438
176,0.425,177,1.275,0.541875
177,1.275,178,0.475,0.605625
177,1.275,179,0.725,0.462188
177,1.275,190,1.075,0.105433
177,1.275,231,1.15,0.027153
178,0.475,179,0.725,0.344375
179,0.725,180,0.7,0.5075
179,0.725,186,0.725,0.075089
180,0.7,181,0.5,0.35
180,0.7,182,0.55,0.1925
180,0.7,185,0.65,0.091
180,0.7,186,0.725,0.084583
181,0.5,182,0.55,0.275
182,0.55,183,0.275,0.15125
182,0.55,184,0.4,0.11
182,0.55,185,0.65,0.119167
183,0.275,184,0.4,0.11
184,0.4,185,0.65,0.26
185,0.65,186,0.725,0.47125
186,0.725,187,0.5,0.3625
186,0.725,190,1.075,0.194844
187,0.5,188,0.475,0.2375
187,0.5,190,1.075,0.179167
188,0.475,189,0.45,0.21375
188,0.475,190,1.075,0.255312
189,0.45,190,1.075,0.48375
190,1.075,191,0.7,0.7525
190,1.075,197,0.775,0.119018
190,1.075,218,0.85,0.032634
190,1.075,221,1.025,0.035544
190,1.075,231,1.15,0.030152
191,0.7,192,0.45,0.315
191,0.7,194,0.5,0.116667
191,0.7,196,0.675,0.0945
191,0.7,197,0.775,0.090417
192,0.45,193,0.4,0.18
192,0.45,194,0.5,0.1125
193,0.4,194,0.5,0.2
194,0.5,195,0.4,0.2
194,0.5,196,0.675,0.16875
195,0.4,196,0.675,0.27
196,0.675,197,0.775,0.523125
197,0.775,198,0.4,0.31
197,0.775,199,0.65,0.251875
197,0.775,203,0.675,0.087188
197,0.775,207,0.7,0.05425
197,0.775,218,0.85,0.031369
198,0.4,199,0.65,0.26
199,0.65,200,0.65,0.4225
200,0.65,201,0.65,0.4225
201,0.65,202,0.35,0.2275
201,0.65,203,0.675,0.219375
202,0.35,203,0.675,0.23625
203,0.675,204,0.35,0.23625
203,0.675,205,0.5,0.16875
203,0.675,206,0.6,0.135
203,0.675,207,0.7,0.118125
204,0.35,205,0.5,0.175
205,0.5,206,0.6,0.3
206,0.6,207,0.7,0.42
207,0.7,208,0.625,0.4375
207,0.7,211,0.65,0.11375
207,0.7,212,0.7,0.098
208,0.625,209,0.175,0.109375
208,0.625,210,0.6,0.1875
208,0.625,211,0.65,0.135417
209,0.175,210,0.6,0.105
210,0.6,211,0.65,0.39
211,0.65,212,0.7,0.455
212,0.7,213,0.575,0.4025
212,0.7,218,0.85,0.099167
213,0.575,214,0.475,0.273125
213,0.575,215,0.55,0.158125
213,0.575,218,0.85,0.09775
214,0.475,215,0.55,0.26125
215,0.55,216,0.35,0.1925
215,0.55,217,0.475,0.130625
215,0.55,218,0.85,0.155833
216,0.35,217,0.475,0.16625
217,0.475,218,0.85,0.40375
218,0.85,219,0.35,0.2975
218,0.85,220,0.6,0.255
218,0.85,221,1.025,0.290417
219,0.35,220,0.6,0.21
220,0.6,221,1.025,0.615
221,1.025,222,0.55,0.56375
221,1.025,231,1.15,0.117875
222,0.55,223,0.325,0.17875
222,0.55,224,0.35,0.09625
222,0.55,226,0.45,0.061875
222,0.55,231,1.15,0.070278
223,0.325,224,0.35,0.11375
224,0.35,225,0.3,0.105
224,0.35,226,0.45,0.07875
225,0.3,226,0.45,0.135
226,0.45,227,0.375,0.16875
226,0.45,228,0.45,0.10125
227,0.375,228,0.45,0.16875
228,0.45,229,0.4,0.18
228,0.45,231,1.15,0.1725
229,0.4,230,0.35,0.14
229,0.4,231,1.15,0.23
230,0.35,231,1.15,0.4025
231,1.15,232,0.325,0.37375
231,1.15,233,0.5,0.2875
231,1.15,241,0.575,0.066125
231,1.15,245,0.925,0.075982
232,0.325,233,0.5,0.1625
233,0.5,234,0.225,0.1125
233,0.5,235,0.475,0.11875
233,0.5,241,0.575,0.035938
234,0.225,235,0.475,0.106875
235,0.475,236,0.35,0.16625
235,0.475,239,0.375,0.044531
235,0.475,241,0.575,0.045521
236,0.35,237,0.325,0.11375
236,0.35,239,0.375,0.04375
237,0.325,238,0.3,0.0975
237,0.325,239,0.375,0.060938
238,0.3,239,0.375,0.1125
239,0.375,240,0.25,0.09375
239,0.375,241,0.575,0.107812
240,0.25,241,0.575,0.14375
241,0.575,242,0.225,0.129375
241,0.575,244,0.35,0.067083
241,0.575,245,0.925,0.132969
242,0.225,243,0.225,0.050625
243,0.225,244,0.35,0.07875
244,0.35,245,0.925,0.32375
245,0.925,246,0.25,0.23125
245,0.925,247,0.275,0.127188
245,0.925,248,0.325,0.100208
245,0.925,249,0.7,0.161875
245,0.925,272,0.875,0.029977
246,0.25,247,0.275,0.06875
247,0.275,248,0.325,0.089375
248,0.325,249,0.7,0.2275
249,0.7,250,0.5,0.35
249,0.7,251,0.65,0.2275
249,0.7,265,0.7,0.030625
250,0.5,251,0.65,0.325
251,0.65,252,0.45,0.2925
251,0.65,257,0.475,0.051458
251,0.65,258,0.5,0.046429
251,0.65,259,0.525,0.042656
251,0.65,265,0.7,0.0325
252,0.45,253,0.35,0.1575
252,0.45,254,0.4,0.09
252,0.45,257,0.475,0.04275
253,0.35,254,0.4,0.14
254,0.4,255,0.25,0.1
254,0.4,256,0.35,0.07
254,0.4,257,0.475,0.063333
255,0.25,256,0.35,0.0875
256,0.35,257,0.475,0.16625
257,0.475,258,0.5,0.2375
258,0.5,259,0.525,0.2625
259,0.525,260,0.5,0.2625
259,0.525,265,0.7,0.06125
260,0.5,261,0.3,0.15
260,0.5,262,0.425,0.10625
260,0.5,265,0.7,0.07
261,0.3,262,0.425,0.1275
262,0.425,263,0.4,0.17
262,0.425,265,0.7,0.099167
263,0.4,264,0.325,0.13
263,0.4,265,0.7,0.14
264,0.325,265,0.7,0.2275
265,0.7,266,0.375,0.2625
265,0.7,267,0.575,0.20125
265,0.7,271,0.6,0.07
265,0.7,272,0.875,0.0875
266,0.375,267,0.575,0.215625
267,0.575,268,0.5,0.2875
267,0.575,271,0.6,0.08625
268,0.5,269,0.325,0.1625
268,0.5,270,0.35,0.0875
268,0.5,271,0.6,0.1
269,0.325,270,0.35,0.11375
270,0.35,271,0.6,0.21
271,0.6,272,0.875,0.525
272,0.875,273,0.4,0.35
272,0.875,274,0.475,0.207812
272,0.875,281,0.55,0.053472
272,0.875,286,0.6,0.0375
272,0.875,288,0.625,0.03418
272,0.875,291,0.675,0.031086
272,0.875,294,0.7,0.027841
273,0.4,274,0.475,0.19
274,0.475,275,0.325,0.154375
274,0.475,276,0.4,0.095
274,0.475,281,0.55,0.037321
275,0.325,276,0.4,0.13
276,0.4,277,0.325,0.13
276,0.4,280,0.35,0.035
276,0.4,281,0.55,0.044
277,0.325,278,0.275,0.089375
277,0.325,280,0.35,0.037917
278,0.275,279,0.275,0.075625
279,0.275,280,0.35,0.09625
280,0.35,281,0.55,0.1925
281,0.55,282,0.25,0.1375
281,0.55,283,0.325,0.089375
281,0.55,285,0.45,0.061875
281,0.55,286,0.6,0.066
282,0.25,283,0.325,0.08125
283,0.325,284,0.2,0.065
283,0.325,285,0.45,0.073125
284,0.2,285,0.45,0.09
285,0.45,286,0.6,0.27
286,0.6,287,0.45,0.27
286,0.6,288,0.625,0.1875
287,0.45,288,0.625,0.28125
288,0.625,289,0.575,0.359375
288,0.625,291,0.675,0.140625
289,0.575,290,0.425,0.244375
289,0.575,291,0.675,0.194062
290,0.425,291,0.675,0.286875
291,0.675,292,0.525,0.354375
291,0.675,293,0.625,0.210938
291,0.675,294,0.7,0.1575
292,0.525,293,0.625,0.328125
293,0.625,294,0.7,0.4375
294,0.7,295,0.475,0.3325
294,0.7,296,0.5,0.175
294,0.7,302,0.55,0.048125
295,0.475,296,0.5,0.2375
296,0.5,297,0.4,0.2
296,0.5,299,0.45,0.075
296,0.5,300,0.475,0.059375
296,0.5,302,0.55,0.045833
297,0.4,298,0.35,0.14
297,0.4,299,0.45,0.09
298,0.35,299,0.45,0.1575
299,0.45,300,0.475,0.21375
300,0.475,301,0.275,0.130625
300,0.475,302,0.55,0.130625
301,0.275,302,0.55,0.15125
302,0.55,303,0.5,0.275
303,0.5,304,0.475,0.2375
304,0.475,305,0.3,0.1425
